Parameter,Model,Mean_R2,Std_R2
alpha,Ridge (α=0.1),-0.05368247054149846,0.06074685869140493
alpha,Ridge (α=1.0),-0.05337846251394098,0.06053549880946013
alpha,LASSO (α=0.01),-0.022935225202109732,0.024814633009458426
alpha,LASSO (α=0.1),-0.013031908517928991,0.018470109368443663
alpha,Elastic Net,-0.013031908517928991,0.018470109368443663
proc.temp,Ridge (α=0.1),-0.03214452228478426,0.016680686466600637
proc.temp,Ridge (α=1.0),-0.031965046952411404,0.016620497758536405
proc.temp,LASSO (α=0.01),-0.015890737828218215,0.01130079821531998
proc.temp,LASSO (α=0.1),-0.004299673290488126,0.003232970470053562
proc.temp,Elastic Net,-0.005578479066481279,0.002616518672838918
decay,Ridge (α=0.1),-0.04206014513358056,0.04701824449489919
decay,Ridge (α=1.0),-0.04183011233772731,0.04679538010567145
decay,LASSO (α=0.01),-0.01518168053743354,0.02163194577289033
decay,LASSO (α=0.1),-0.011971327597431403,0.010657311147500154
decay,Elastic Net,-0.011971327597431403,0.010657311147500154
decl.temp,Ridge (α=0.1),-0.036912311847844624,0.030414059842949214
decl.temp,Ridge (α=1.0),-0.03662185618457188,0.030173737736120077
decl.temp,LASSO (α=0.01),-0.011875038780527137,0.010676981485324437
decl.temp,LASSO (α=0.1),-0.008568242617767697,0.006716415166348538
decl.temp,Elastic Net,-0.008568242617767697,0.006716415166348538
