,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,173132_fnca,1,1,Reward,2,5,2.0,0,461,0,27,1,0,1,0,3.0,,,,MostlyReward,MostlyReward
2,173132_fnca,2,1,Reward,3,5,3.0,0,221,0,13,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
3,173132_fnca,3,1,Punishment,4,5,3.0,0,745,0,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
4,173132_fnca,4,1,Reward,5,5,3.0,0,441,0,14,3,3,0,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
5,173132_fnca,5,1,Reward,6,5,2.0,0,281,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
6,173132_fnca,6,1,Reward,7,5,3.0,0,636,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7,173132_fnca,7,1,Neutral,8,5,3.0,0,491,0,13,2,2,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8,173132_fnca,8,1,Reward,9,5,2.0,0,483,0,13,1,0,1,0,,3.0,1.0,Neutral,MostlyReward,MostlyReward
9,173132_fnca,10,1,Reward,10,5,2.0,0,444,0,14,2,0,2,0,3.0,,,,MostlyPunishment,MostlyPunishment
10,173132_fnca,11,1,Punishment,11,5,3.0,0,323,0,14,1,1,0,0,3.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
11,173132_fnca,12,1,Punishment,12,5,3.0,0,230,0,13,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,173132_fnca,13,1,Punishment,13,5,2.0,0,281,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
13,173132_fnca,14,1,Neutral,14,5,2.0,0,291,0,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,173132_fnca,15,1,Punishment,15,5,2.0,0,89,1,14,3,0,3,1,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,173132_fnca,16,1,Punishment,16,5,2.0,0,536,0,13,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
16,173132_fnca,17,1,Punishment,17,5,2.0,0,327,0,13,5,0,5,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
17,173132_fnca,19,1,Punishment,18,5,3.0,0,390,0,13,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
18,173132_fnca,20,1,Punishment,19,5,3.0,0,326,0,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,173132_fnca,21,1,Punishment,20,5,3.0,0,447,0,13,3,3,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
20,173132_fnca,22,1,Neutral,21,5,2.0,0,277,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
21,173132_fnca,23,1,Punishment,22,5,3.0,0,279,0,14,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
22,173132_fnca,24,1,Neutral,23,5,2.0,0,232,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
23,173132_fnca,25,1,Punishment,24,5,2.0,0,351,0,14,2,0,2,0,3.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
24,173132_fnca,26,1,Punishment,25,5,3.0,0,407,0,13,1,1,0,0,,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
25,173132_fnca,28,1,Reward,26,5,3.0,0,431,0,13,2,2,0,0,3.0,,,,MostlyReward,MostlyReward
26,173132_fnca,29,1,Reward,27,5,3.0,0,344,0,13,3,3,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
27,173132_fnca,30,1,Punishment,28,5,3.0,0,391,0,13,4,4,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
28,173132_fnca,31,1,Reward,29,5,3.0,0,261,0,13,5,5,0,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
29,173132_fnca,32,1,Punishment,30,5,2.0,0,256,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
30,173132_fnca,33,1,Reward,31,5,3.0,0,354,0,14,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
31,173132_fnca,34,1,Reward,32,5,3.0,0,281,0,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
32,173132_fnca,35,1,Reward,32,5,3.0,0,326,0,13,3,3,0,0,,3.0,0.0,Reward,MostlyReward,MostlyReward
33,173132_fnca,1,2,Punishment,2,5,3.0,0,301,0,27,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
34,173132_fnca,2,2,Punishment,3,5,3.0,0,252,0,14,2,2,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
35,173132_fnca,3,2,Reward,4,5,2.0,0,300,0,14,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
36,173132_fnca,4,2,Punishment,5,5,2.0,0,309,0,13,2,0,2,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
37,173132_fnca,5,2,Reward,6,5,3.0,0,151,1,13,1,1,0,1,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
38,173132_fnca,6,2,Punishment,7,5,2.0,0,248,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyPunishment,MostlyPunishment
39,173132_fnca,7,2,Punishment,8,5,3.0,0,263,0,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
40,173132_fnca,8,2,Punishment,9,5,2.0,0,241,0,14,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
41,173132_fnca,10,2,Reward,10,5,3.0,0,431,0,13,1,1,0,0,3.0,,,,MostlyReward,MostlyReward
42,173132_fnca,11,2,Neutral,11,5,3.0,0,382,0,13,2,2,0,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
43,173132_fnca,12,2,Reward,12,5,2.0,0,391,0,14,1,0,1,0,3.0,3.0,1.0,Neutral,MostlyReward,MostlyReward
44,173132_fnca,13,2,Reward,13,5,3.0,0,455,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
45,173132_fnca,14,2,Reward,14,5,2.0,0,372,0,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
46,173132_fnca,15,2,Reward,15,5,3.0,0,663,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
47,173132_fnca,16,2,Neutral,16,5,2.0,0,291,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
48,173132_fnca,17,2,Reward,17,5,3.0,0,284,0,14,1,1,0,0,,2.0,1.0,Neutral,MostlyReward,MostlyReward
49,173132_fnca,19,2,Punishment,18,5,3.0,0,477,0,14,2,2,0,0,2.0,,,,MostlyPunishment,MostlyPunishment
50,173132_fnca,20,2,Punishment,19,5,2.0,0,315,0,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
51,173132_fnca,21,2,Reward,20,5,3.0,0,405,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
52,173132_fnca,22,2,Punishment,21,5,3.0,0,566,0,13,2,2,0,0,2.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
53,173132_fnca,23,2,Reward,22,5,2.0,0,400,0,13,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
54,173132_fnca,24,2,Punishment,23,5,2.0,0,283,0,13,2,0,2,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
55,173132_fnca,25,2,Punishment,24,5,3.0,0,410,0,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
56,173132_fnca,26,2,Punishment,25,5,2.0,0,348,0,13,1,0,1,0,,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
57,173132_fnca,28,2,Reward,26,5,3.0,0,663,0,13,1,1,0,0,2.0,,,,MostlyReward,MostlyReward
58,173132_fnca,29,2,Reward,27,5,2.0,0,281,0,13,1,0,1,0,,3.0,1.0,Reward,MostlyReward,MostlyReward
59,173132_fnca,31,2,Reward,29,5,3.0,0,261,0,13,1,1,0,0,2.0,,,Punishment,MostlyReward,MostlyReward
60,173132_fnca,32,2,Punishment,30,5,2.0,0,251,0,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
61,173132_fnca,33,2,Reward,31,5,3.0,0,296,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
62,173132_fnca,34,2,Reward,32,5,3.0,0,345,0,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
