,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,886674_fnca,1,1,Reward,2,5,2.0,0,514,0,27,1,0,1,0,2.0,,,,MostlyReward,MostlyReward
2,886674_fnca,2,1,Reward,3,5,2.0,0,735,0,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
3,886674_fnca,3,1,Punishment,4,5,2.0,0,1133,0,13,3,0,3,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
4,886674_fnca,4,1,Reward,5,5,2.0,0,590,0,14,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
5,886674_fnca,5,1,Reward,6,5,2.0,0,578,0,14,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
6,886674_fnca,6,1,Reward,7,5,2.0,0,669,0,13,6,0,6,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7,886674_fnca,7,1,Neutral,8,5,2.0,0,257,0,13,7,0,7,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
8,886674_fnca,8,1,Reward,9,5,2.0,0,518,0,13,8,0,8,0,,2.0,0.0,Neutral,MostlyReward,MostlyReward
9,886674_fnca,10,1,Reward,10,5,3.0,0,606,0,13,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
10,886674_fnca,11,1,Punishment,11,5,3.0,0,317,0,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11,886674_fnca,12,1,Punishment,12,5,3.0,0,344,0,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,886674_fnca,13,1,Punishment,13,5,3.0,0,324,0,13,4,4,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,886674_fnca,14,1,Neutral,14,5,3.0,0,345,0,13,5,5,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
14,886674_fnca,15,1,Punishment,15,5,3.0,0,268,0,14,6,6,0,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,886674_fnca,16,1,Punishment,16,5,2.0,0,394,0,14,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,886674_fnca,17,1,Punishment,17,5,2.0,0,325,0,13,2,0,2,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
17,886674_fnca,19,1,Punishment,18,5,2.0,0,364,0,13,3,0,3,0,2.0,,,,MostlyPunishment,MostlyPunishment
18,886674_fnca,20,1,Punishment,19,5,2.0,0,495,0,14,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
19,886674_fnca,21,1,Punishment,20,5,2.0,0,377,0,14,5,0,5,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
20,886674_fnca,22,1,Neutral,21,5,2.0,0,557,0,13,6,0,6,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
21,886674_fnca,23,1,Punishment,22,5,2.0,0,383,0,13,7,0,7,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
22,886674_fnca,24,1,Neutral,23,5,2.0,0,523,0,14,8,0,8,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
23,886674_fnca,25,1,Punishment,24,5,2.0,0,480,0,14,9,0,9,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
24,886674_fnca,26,1,Punishment,25,5,2.0,0,372,0,13,10,0,10,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
25,886674_fnca,28,1,Reward,26,5,2.0,0,738,0,14,11,0,11,0,2.0,,,,MostlyReward,MostlyReward
26,886674_fnca,29,1,Reward,27,5,2.0,0,310,0,14,12,0,12,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
27,886674_fnca,30,1,Punishment,28,5,2.0,0,285,0,13,13,0,13,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
28,886674_fnca,31,1,Reward,29,5,2.0,0,243,0,13,14,0,14,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
29,886674_fnca,32,1,Punishment,30,5,2.0,0,275,0,13,15,0,15,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
30,886674_fnca,33,1,Reward,31,5,2.0,0,325,0,14,16,0,16,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
31,886674_fnca,34,1,Reward,32,5,2.0,0,389,0,13,17,0,17,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
32,886674_fnca,35,1,Reward,32,5,2.0,0,299,0,14,18,0,18,0,,2.0,0.0,Reward,MostlyReward,MostlyReward
33,886674_fnca,1,2,Punishment,2,5,2.0,0,443,0,27,1,0,1,0,2.0,,,,MostlyPunishment,MostlyPunishment
34,886674_fnca,2,2,Punishment,3,5,2.0,0,384,0,14,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
35,886674_fnca,3,2,Reward,4,5,2.0,0,376,0,14,3,0,3,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
36,886674_fnca,4,2,Punishment,5,5,2.0,0,327,0,14,4,0,4,0,2.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
37,886674_fnca,5,2,Reward,6,5,2.0,0,310,0,14,5,0,5,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
38,886674_fnca,6,2,Punishment,7,5,2.0,0,287,0,13,6,0,6,0,2.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
39,886674_fnca,7,2,Punishment,8,5,2.0,0,457,0,13,7,0,7,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
40,886674_fnca,8,2,Punishment,9,5,2.0,0,423,0,14,8,0,8,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
41,886674_fnca,10,2,Reward,10,5,2.0,0,453,0,13,9,0,9,0,2.0,,,,MostlyReward,MostlyReward
42,886674_fnca,11,2,Neutral,11,5,2.0,0,320,0,13,10,0,10,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
43,886674_fnca,12,2,Reward,12,5,2.0,0,314,0,13,11,0,11,0,2.0,2.0,0.0,Neutral,MostlyReward,MostlyReward
