,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,RT_Outlier,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,109830_fnca,1,1,Reward,2,5,2.0,0,572,0,27,1,0,1,0,2.0,,,,MostlyReward,MostlyReward
2,109830_fnca,2,1,Reward,3,5,2.0,0,376,0,14,2,0,2,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
3,109830_fnca,3,1,Punishment,4,5,3.0,0,472,0,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
4,109830_fnca,4,1,Reward,5,5,2.0,0,343,0,14,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
5,109830_fnca,5,1,Reward,6,5,2.0,0,440,0,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
6,109830_fnca,6,1,Reward,7,5,2.0,0,757,0,13,3,0,3,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7,109830_fnca,7,1,Neutral,8,5,2.0,0,533,0,13,4,0,4,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
8,109830_fnca,8,1,Reward,9,5,2.0,0,357,0,13,5,0,5,0,,2.0,0.0,Neutral,MostlyReward,MostlyReward
9,109830_fnca,10,1,Reward,10,5,3.0,0,594,0,14,1,1,0,0,3.0,,,,MostlyPunishment,MostlyPunishment
10,109830_fnca,11,1,Punishment,11,5,3.0,0,454,0,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11,109830_fnca,12,1,Punishment,12,5,3.0,0,611,0,13,3,3,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,109830_fnca,13,1,Punishment,13,5,2.0,0,248,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
13,109830_fnca,14,1,Neutral,14,5,3.0,0,384,0,14,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
14,109830_fnca,15,1,Punishment,15,5,3.0,0,344,0,13,2,2,0,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,109830_fnca,16,1,Punishment,16,5,2.0,0,720,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,109830_fnca,17,1,Punishment,17,5,3.0,0,980,0,14,1,1,0,0,,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
17,109830_fnca,19,1,Punishment,18,5,2.0,0,772,0,14,1,0,1,0,3.0,,,,MostlyPunishment,MostlyPunishment
18,109830_fnca,20,1,Punishment,19,5,3.0,0,532,0,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
19,109830_fnca,21,1,Punishment,20,5,2.0,0,315,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
20,109830_fnca,22,1,Neutral,21,5,3.0,0,316,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
21,109830_fnca,23,1,Punishment,22,5,3.0,0,422,0,13,2,2,0,0,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
22,109830_fnca,24,1,Neutral,23,5,3.0,0,396,0,14,3,3,0,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
23,109830_fnca,25,1,Punishment,24,5,2.0,0,254,0,14,1,0,1,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
24,109830_fnca,26,1,Punishment,25,5,2.0,0,272,0,13,2,0,2,0,,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
25,109830_fnca,28,1,Reward,26,5,2.0,0,511,0,13,3,0,3,0,2.0,,,,MostlyReward,MostlyReward
26,109830_fnca,29,1,Reward,27,5,2.0,0,345,0,14,4,0,4,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
27,109830_fnca,30,1,Punishment,28,5,2.0,0,317,0,13,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
28,109830_fnca,31,1,Reward,29,5,2.0,0,431,0,14,6,0,6,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
29,109830_fnca,32,1,Punishment,30,5,2.0,0,406,0,13,7,0,7,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
30,109830_fnca,33,1,Reward,31,5,3.0,0,375,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
31,109830_fnca,34,1,Reward,32,5,3.0,0,336,0,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
32,109830_fnca,35,1,Reward,32,5,3.0,0,232,0,13,3,3,0,0,,3.0,0.0,Reward,MostlyReward,MostlyReward
33,109830_fnca,1,2,Punishment,2,5,3.0,0,498,0,27,1,1,0,0,2.0,,,,MostlyPunishment,MostlyPunishment
34,109830_fnca,2,2,Punishment,3,5,2.0,0,377,0,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
35,109830_fnca,3,2,Reward,4,5,3.0,0,303,0,13,1,1,0,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
36,109830_fnca,4,2,Punishment,5,5,3.0,0,378,0,14,2,2,0,0,2.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
37,109830_fnca,5,2,Reward,6,5,2.0,0,416,0,14,1,0,1,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
38,109830_fnca,6,2,Punishment,7,5,2.0,0,272,0,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
39,109830_fnca,7,2,Punishment,8,5,2.0,0,320,0,14,3,0,3,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
40,109830_fnca,8,2,Punishment,9,5,3.0,0,297,0,13,1,1,0,0,,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
41,109830_fnca,10,2,Reward,10,5,2.0,0,523,0,13,1,0,1,0,2.0,,,,MostlyReward,MostlyReward
42,109830_fnca,11,2,Neutral,11,5,2.0,0,371,0,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
43,109830_fnca,12,2,Reward,12,5,2.0,0,312,0,13,3,0,3,0,2.0,2.0,0.0,Neutral,MostlyReward,MostlyReward
44,109830_fnca,13,2,Reward,13,5,2.0,0,340,0,13,4,0,4,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
45,109830_fnca,14,2,Reward,14,5,2.0,0,262,0,13,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
46,109830_fnca,15,2,Reward,15,5,2.0,0,314,0,13,6,0,6,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
47,109830_fnca,16,2,Neutral,16,5,2.0,0,458,0,13,7,0,7,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
