Subject,NumRuns,Excluded,Reason,TotalTrials,RT_Outliers,RT_Outlier_Percentage
109830,2,False,,64,0,0.0
113821,2,False,,64,1,1.56
872562,2,False,,64,0,0.0
492754,2,False,,64,0,0.0
342129,2,False,,64,0,0.0
156334,2,False,,64,1,1.56
568963,2,False,,64,1,1.56
419239,2,False,,64,1,1.56
205826,2,False,,64,1,1.56
894774,2,False,,64,3,4.69
200008,2,False,,64,0,0.0
972566,2,False,,63,9,14.29
179346,2,False,,64,1,1.56
350330,2,False,,64,0,0.0
849971,2,False,,63,1,1.59
995174,2,False,,64,10,15.62
664757,2,False,,64,1,1.56
116726,2,False,,63,0,0.0
788674,2,False,,64,0,0.0
583858,2,False,,64,0,0.0
880157,2,False,,63,1,1.59
770352,2,False,,64,0,0.0
827052,2,False,,64,1,1.56
209228,2,False,,64,1,1.56
130114,2,False,,64,1,1.56
117122,2,False,,62,0,0.0
415837,2,False,,64,0,0.0
149842,2,False,,62,0,0.0
329844,2,False,,64,0,0.0
395251,2,False,,64,0,0.0
158540,2,False,,63,0,0.0
933253,2,False,,64,0,0.0
814548,2,False,,64,0,0.0
178748,2,False,,63,0,0.0
760551,2,False,,64,1,1.56
816653,2,True,Uniform responses (>80%),64,0,0.0
118932,2,False,,63,0,0.0
175742,2,False,,63,0,0.0
917558,2,False,,63,0,0.0
105216,2,True,Uniform responses (>80%),64,7,10.94
138231,2,False,,64,0,0.0
169545,2,False,,64,12,18.75
156435,2,False,,64,0,0.0
615441,2,False,,63,4,6.35
129937,2,False,,64,0,0.0
561949,2,False,,63,2,3.17
927359,2,True,Uniform responses (>80%),64,1,1.56
153732,2,False,,62,0,0.0
168341,2,False,,64,0,0.0
139435,2,False,,63,2,3.17
693764,2,False,,64,2,3.12
146432,2,False,,61,0,0.0
146937,2,False,,64,0,0.0
214524,2,False,,64,5,7.81
366446,2,False,,63,1,1.59
123824,2,False,,63,0,0.0
123521,2,False,,64,1,1.56
195647,2,False,,61,0,0.0
150726,2,False,,64,0,0.0
987983,2,False,,64,0,0.0
172635,2,False,,64,0,0.0
867468,2,False,,63,1,1.59
178243,2,False,,64,1,1.56
135730,2,False,,64,0,0.0
257542,2,False,,64,1,1.56
856968,2,False,,64,4,6.25
209127,2,False,,64,0,0.0
634748,2,False,,64,0,0.0
353740,2,False,,63,2,3.17
731140,2,False,,64,0,0.0
192035,2,False,,63,1,1.59
286347,2,False,,64,7,10.94
191841,2,False,,64,0,0.0
581349,2,False,,64,0,0.0
346945,2,False,,64,1,1.56
159441,2,False,,64,0,0.0
202719,2,False,,64,0,0.0
901442,2,False,,64,0,0.0
445543,2,False,,64,0,0.0
361234,2,False,,64,1,1.56
119833,2,False,,64,0,0.0
910241,2,False,,64,0,0.0
182032,2,False,,61,7,11.48
138534,2,False,,64,2,3.12
314225,2,False,,64,10,15.62
209329,2,False,,64,0,0.0
368753,2,False,,64,0,0.0
316835,2,False,,64,1,1.56
329440,2,False,,64,0,0.0
110613,2,False,,64,0,0.0
609143,2,False,,61,3,4.92
767464,2,False,,64,1,1.56
680250,2,False,,63,2,3.17
150928,2,False,,64,5,7.81
194746,2,False,,63,6,9.52
856766,2,False,,62,0,0.0
299154,2,False,,63,2,3.17
172130,2,False,,64,1,1.56
529953,2,False,,64,1,1.56
303119,2,False,,63,0,0.0
461743,2,False,,64,0,0.0
339847,2,False,,63,0,0.0
943862,2,False,,64,13,20.31
735148,2,False,,64,3,4.69
151627,2,False,,63,1,1.59
214221,2,False,,62,1,1.61
195849,2,False,,63,15,23.81
200109,2,False,,64,2,3.12
765056,2,False,,64,5,7.81
112920,2,False,,63,2,3.17
888678,2,False,,64,1,1.56
622236,2,False,,64,0,0.0
104416,2,False,,64,0,0.0
162733,2,False,,63,0,0.0
516742,2,False,,64,0,0.0
111716,2,False,,64,1,1.56
123420,2,False,,63,0,0.0
660951,2,False,,63,0,0.0
123925,2,False,,64,0,0.0
589567,2,False,,64,1,1.56
107725,2,False,,63,0,0.0
869472,2,False,,62,0,0.0
159340,2,False,,64,6,9.38
467351,2,False,,64,1,1.56
566454,2,False,,64,2,3.12
751550,2,False,,62,0,0.0
541640,2,False,,64,18,28.12
355239,2,False,,64,0,0.0
904044,2,False,,64,3,4.69
257946,2,False,,64,1,1.56
922854,2,False,,64,3,4.69
481042,2,False,,62,0,0.0
133827,2,False,,63,4,6.35
270332,2,False,,63,0,0.0
969476,2,False,,64,0,0.0
958976,2,False,,64,0,0.0
169444,2,False,,64,0,0.0
571144,2,False,,64,0,0.0
144226,2,False,,64,2,3.12
160123,2,False,,64,0,0.0
146836,2,False,,64,1,1.56
146533,2,False,,64,0,0.0
168240,2,False,,63,9,14.29
298051,2,False,,62,3,4.84
541943,2,False,,64,0,0.0
156637,2,False,,64,0,0.0
911849,2,False,,55,1,1.82
169747,2,False,,64,0,0.0
163331,2,False,,64,0,0.0
978578,2,False,,63,0,0.0
105014,2,False,,64,0,0.0
382242,2,False,,64,1,1.56
175540,2,False,,64,0,0.0
919966,2,False,,64,0,0.0
135932,2,False,,64,0,0.0
211821,2,False,,64,2,3.12
224022,2,False,,63,2,3.17
120515,2,False,,64,0,0.0
828862,2,False,,63,0,0.0
166438,2,False,,63,1,1.59
139637,2,False,,63,0,0.0
102008,2,False,,64,0,0.0
189349,2,False,,64,0,0.0
748258,2,False,,64,0,0.0
173738,2,False,,64,0,0.0
195445,2,False,,64,1,1.56
123723,2,False,,64,0,0.0
524135,2,False,,63,12,19.05
146735,2,False,,64,0,0.0
173233,2,False,,63,0,0.0
715647,2,False,,64,0,0.0
214726,2,False,,64,5,7.81
162935,2,True,Uniform responses (>80%),64,0,0.0
479762,2,False,,63,0,0.0
188448,2,False,,63,0,0.0
118730,2,False,,64,1,1.56
832651,2,False,,64,0,0.0
744553,2,False,,64,0,0.0
185947,2,False,,64,1,1.56
185442,2,False,,64,13,20.31
196851,2,False,,64,0,0.0
994273,2,False,,61,0,0.0
130417,2,False,,63,0,0.0
150524,2,False,,63,0,0.0
212116,2,False,,64,0,0.0
599469,2,False,,64,3,4.69
665254,2,False,,64,0,0.0
141826,2,False,,63,5,7.94
114116,2,False,,64,0,0.0
779370,2,False,,64,4,6.25
378857,2,False,,64,0,0.0
136227,2,False,,64,0,0.0
792867,2,False,,64,1,1.56
788876,2,False,,64,1,1.56
878776,2,False,,64,0,0.0
111211,2,False,,64,0,0.0
115219,2,False,,64,0,0.0
116524,2,False,,63,2,3.17
686969,2,False,,64,1,1.56
397861,2,False,,64,1,1.56
555348,2,False,,64,2,3.12
826454,2,False,,64,1,1.56
316633,2,False,,63,6,9.52
167036,2,False,,64,0,0.0
561444,2,False,,63,0,0.0
245333,2,False,,63,3,4.76
137128,2,False,,64,0,0.0
702133,2,False,,62,1,1.61
859671,2,False,,64,0,0.0
130316,2,False,,64,3,4.69
395958,2,False,,64,0,0.0
126325,2,False,,64,9,14.06
111514,2,False,,64,1,1.56
885975,2,False,,63,1,1.59
213017,2,False,,64,0,0.0
598568,2,False,,64,0,0.0
289555,2,False,,59,0,0.0
115017,2,False,,63,0,0.0
133625,2,False,,64,1,1.56
567052,2,False,,64,0,0.0
185846,2,False,,64,0,0.0
283543,2,True,Uniform responses (>80%),64,0,0.0
188549,2,False,,64,0,0.0
167238,2,False,,64,1,1.56
473952,2,False,,63,0,0.0
147030,2,True,Uniform responses (>80%),64,2,3.12
129634,2,False,,64,1,1.56
105115,2,False,,64,6,9.38
172433,2,False,,64,1,1.56
114318,2,False,,64,2,3.12
395756,2,False,,64,0,0.0
351938,2,False,,64,0,0.0
212318,2,False,,64,0,0.0
917255,2,False,,63,0,0.0
898176,2,False,,64,0,0.0
687163,2,False,,64,4,6.25
151324,2,False,,64,1,1.56
131217,2,False,,63,1,1.59
120414,2,False,,64,1,1.56
107422,2,True,Uniform responses (>80%),64,0,0.0
153934,2,False,,64,16,25.0
380036,2,False,,64,0,0.0
102109,2,False,,63,0,0.0
116221,2,False,,64,0,0.0
139839,2,False,,64,0,0.0
311320,2,False,,64,0,0.0
205725,2,False,,64,0,0.0
304020,2,False,,63,3,4.76
192237,2,False,,63,1,1.59
197550,2,False,,64,4,6.25
169949,2,False,,63,0,0.0
130619,2,False,,64,2,3.12
248238,2,False,,64,0,0.0
789373,2,False,,64,3,4.69
110411,2,False,,64,2,3.12
734045,2,False,,63,24,38.1
908860,2,False,,64,1,1.56
872764,2,False,,64,0,0.0
782561,2,False,,63,1,1.59
368551,2,False,,64,0,0.0
154229,2,False,,64,0,0.0
601127,2,False,,64,21,32.81
996782,2,False,,64,3,4.69
